district,isocode,trust_relatives,trust_neighbors,intra_group_trust,inter_group_trust,trust_local_council,export_area,export_pop,exports
Ogbia,NGA,2.5,2.25,1.8125,1.25,0.75,1.6989800929999996,0.15678292499999996,27.43701171999999
Ogun Waterside,NGA,2.111111111111111,1.3333333333333333,1.0,0.375,0.0,13.97556686,0.41622823500000006,665.96521
Ojo,NGA,1.6875,1.1875,1.125,0.75,0.8,12.037283003750005,0.33649032237500004,552.1275294712501
Okehi,NGA,2.0,1.375,0.75,0.125,1.125,0.09705944400000001,0.002524494,0.6311236020000001
Okigwe,NGA,1.125,0.625,0.625,0.0,0.75,11.514976498749999,0.13978271687500002,434.2623901375
Okirika,NGA,1.625,1.125,0.625,0.625,0.5,1.6989800929999999,0.156782925,27.437011719999994
Okiti Pupa,NGA,2.125,1.4285714285714286,1.375,1.0,0.875,13.97556686,0.41622823500000006,665.96521
Okiti Pupa (Ikale),NGA,2.142857142857143,1.1428571428571428,0.42857142857142855,0.42857142857142855,1.7142857142857142,13.57383782142857,0.3710942728571429,628.1361781857142
Olamaboro,NGA,2.125,1.625,1.125,0.625,1.0,0.107977308375,0.003967801625,1.5871206525
Ondo West,NGA,2.0625,1.625,1.25,1.3125,0.6666666666666666,13.975566860000004,0.4162282350000001,665.9652100000001
Onitsha North,NGA,0.625,0.25,0.25,0.25,0.2857142857142857,11.16346359,0.10029049999999998,401.1619873
Oredo,NGA,1.631578947368421,1.368421052631579,1.2105263157894737,1.105263157894737,0.3888888888888889,2.986700678842106,0.04450293589473684,93.81081380421054
Orihionmwon,NGA,1.7333333333333334,1.2666666666666666,1.4,1.0,0.8,0.7467322153333332,0.033729964533333344,11.140241942666668
Orire,NGA,3.0,2.0,1.875,1.125,0.5714285714285714,13.97556686,0.41622823500000006,665.96521
Orlu,NGA,2.125,0.5,0.5,0.875,0.625,11.16346359,0.10029049999999998,401.1619873
Oshodi Isolo,NGA,1.7142857142857142,1.4285714285714286,0.8571428571428571,0.7142857142857143,0.5714285714285714,9.827623994857145,0.2612411808571428,441.4881082485714
Owerri North,NGA,2.4285714285714284,1.5714285714285714,0.8571428571428571,1.0,0.5714285714285714,9.707616267428572,0.08969322942857141,362.5028512142857
Owo,NGA,0.5,1.0,0.375,0.375,0.42857142857142855,6.6484029517500005,0.16893746237499999,299.96109261274995
Oyi,NGA,1.6875,1.3125,1.25,0.8125,1.0666666666666667,11.163463589999996,0.1002905,401.1619873
Paikoro,NGA,2.111111111111111,1.6666666666666667,1.3333333333333333,1.5555555555555556,1.0,1.5881464561111112,0.052274577777777775,75.08099377555556
Port - Harcourt,NGA,1.303030303030303,0.6060606060606061,0.696969696969697,0.6060606060606061,0.45454545454545453,6.951320973636358,0.10524853960606056,227.29335447263634
Rabah,NGA,2.6666666666666665,2.3333333333333335,1.8,1.6,0.6,0.972532332,0.026109606000000004,130.54803470000002
Rijan,NGA,1.5714285714285714,0.8571428571428571,1.0,1.0,1.7142857142857142,2.697674015857143,0.07842450114285714,188.70008944900002
Rimi,NGA,2.875,2.5,2.375,1.625,1.5,0.972532332,0.026109606000000004,130.54803470000002
Sabon-Gari,NGA,2.2857142857142856,2.4285714285714284,2.2857142857142856,1.8571428571428572,0.8333333333333334,0.972532332,0.026109606000000004,130.54803470000002
Sagbama,NGA,2.125,1.9130434782608696,1.608695652173913,1.380952380952381,0.5833333333333334,1.558592453625,0.13983026045833327,25.065465689999993
Saraduna,NGA,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.0,1.0,0.324177444,0.026109606,43.51601156666667
Shendam,NGA,2.75,2.125,2.25,1.875,0.25,0.7350854478750001,0.022693268428571434,98.18543135537502
Shinkafi,NGA,2.375,1.875,1.875,0.625,0.875,0.972532332,0.026109606000000004,130.54803470000002
Shira,NGA,1.75,1.75,1.625,1.625,1.25,0.8509657905,0.026109606000000004,114.22953036250001
Shiroro,NGA,2.0,1.8,1.6,1.6,1.8,0.6016766132,0.018765361600000002,78.88674847600001
Shomolu,NGA,1.1428571428571428,0.8571428571428571,0.7142857142857143,0.2857142857142857,0.5714285714285714,12.799764697857144,0.3637396252857143,577.7998897342857
Silame,NGA,1.5714285714285714,1.7142857142857142,1.4285714285714286,0.5,0.0,0.972532332,0.026109606000000004,130.54803470000002
Soba,NGA,2.375,2.25,2.0,1.625,1.5,0.972532332,0.026109606000000004,130.54803470000002
Sokoto North,NGA,2.2857142857142856,1.7857142857142858,1.5714285714285714,1.2857142857142858,0.5384615384615384,0.9030657368571429,0.026109606000000004,121.22317507857144
Sokoto South,NGA,2.4285714285714284,2.0714285714285716,1.9285714285714286,1.3571428571428572,1.0,1.8318539174285715,0.05611873130769231,159.46725902857148
Southern Ijaw,NGA,2.282051282051282,2.076923076923077,1.6153846153846154,1.1025641025641026,0.6666666666666666,1.7141190003076936,0.1569332104615384,28.234828363333328
Surulere,NGA,1.1818181818181819,0.9545454545454546,0.6818181818181818,0.36363636363636365,0.42857142857142855,12.386117185652173,0.23765473260869563,516.2938232565218
Takum,NGA,2.0,1.0,1.0,1.0,2.0,0.972532332,0.026109606,130.54803470000002
Tangaza,NGA,2.25,2.125,1.625,1.5,0.25,0.972532332,0.026109606000000004,130.54803470000002
Toro,NGA,2.7142857142857144,2.142857142857143,2.142857142857143,1.7142857142857142,1.5,0.8400976547142858,0.022693268428571434,112.21192154900002
Tsafe,NGA,3.0,3.0,2.875,2.0,2.375,2.597911648,0.074874434625,197.47518161250002
Tudun - wada,NGA,1.4285714285714286,1.1428571428571428,1.2857142857142858,1.0,1.1428571428571428,0.8400976547142858,0.022693268428571434,112.21192154900002
Ugogo,NGA,2.125,1.375,1.125,0.75,1.5,0.8509657905,0.026109606000000004,114.22953036250001
Ukanafun,NGA,1.625,1.125,0.875,0.75,0.8571428571428571,5.744951725,0.048807967,48.80796814000001
Umuahia South,NGA,1.8666666666666667,1.5333333333333334,1.5333333333333334,1.1333333333333333,0.5333333333333333,11.163463589999996,0.1002905,401.1619873
Umume,NGA,1.125,0.5,0.625,0.375,0.625,11.16346359,0.10029049999999998,401.1619873
Ushongu,NGA,2.4444444444444446,1.6666666666666667,1.7777777777777777,1.5555555555555556,1.3333333333333333,0.014109369777777778,0.0004007137777777778,0.3205707075555556
Uyo,NGA,1.375,1.125,0.625,0.75,0.625,5.744951725,0.048807967,48.80796814000001
Warri North,NGA,1.375,1.0,1.125,1.0,0.8125,2.629033205375,0.06449625275,110.8067775215625
Wurno,NGA,1.125,1.25,1.125,1.1428571428571428,0.75,0.972532332,0.026109606000000004,130.54803470000002
YTC,NGA,2.4285714285714284,2.5714285714285716,2.2857142857142856,1.7142857142857142,1.4285714285714286,0.045489590999999996,0.002195243,2.1952426430000003
Yagba East,NGA,2.0,1.25,0.625,0.375,0.5714285714285714,0.09705944400000001,0.002524494,0.6311236020000001
Yenagoa Nothern,NGA,1.7857142857142858,1.2142857142857142,0.9285714285714286,0.7142857142857143,0.35714285714285715,1.7611662468571425,0.12785698685714283,25.150506258999997
Yenagoa/Northern,NGA,2.41025641025641,1.6923076923076923,1.4102564102564104,1.1578947368421053,1.0,2.0036767789230785,0.14856607523076915,36.87301038043589
Yola North,NGA,2.4285714285714284,2.142857142857143,2.142857142857143,2.0,1.5714285714285714,3.372949701857143,0.09491243766666667,176.70933099142854
Zaki,NGA,2.090909090909091,2.090909090909091,1.8181818181818181,1.6363636363636365,1.2727272727272727,0.7197024935454546,0.019587507000000007,95.54272777536366
Zaria,NGA,2.75,2.625,2.375,1.625,1.0,0.972532332,0.026109606000000004,130.54803470000002
Zing,NGA,2.0,1.5,2.0,1.5,1.5,6.98778343,0.416228235,332.982605
Zurmi-Kaura,NGA,1.875,1.75,1.5,1.8571428571428572,0.625,0.972532332,0.026109606000000004,130.54803470000002
BAKEL,SEN,2.8333333333333335,2.8333333333333335,2.75,2.5416666666666665,2.3636363636363638,0.9297499652916664,0.16064907458333333,93.73453919366665
BAMBEY,SEN,2.7916666666666665,2.6666666666666665,2.5833333333333335,2.4166666666666665,2.4285714285714284,2.858049027666667,0.09038500116666666,76.10165989633335
